"","V1","V2","V3","V4","V5","V6","V7"
"104","104","-0.792163256493576","-0.101167851226975","4.01755303930626","3.70920207670669","-11.3758045213142","-11.4339041381953"
"105","105","-1.85507340967243","-0.0901866230469048","2.87339706492072","2.83394284384036","-11.6507229601613","-16.353023409475"
"106","106","-1.19508659773533","-0.29075427424934","4.61359404929234","2.39915361750401","-4.69602191840437","-7.86530240412626"
"107","107","-1.45979155980078","0.144593616769951","4.84621317179558","3.07725991706442","-9.85033886118221","-11.5146643351789"
"108","108","-0.914291365105297","-0.514014456951072","0.515680879586185","1.62773843593501","-14.5174036897716","-12.6480754468598"
"109","109","-1.59678643576901","-0.402095442089255","3.57760009480974","2.98411653274226","-14.0773829230013","-15.393594560403"
"110","110","-2.10665580152983","-0.137518161506459","1.71659397235016","0.348786152570133","-16.7745376029055","-19.6723336693023"
"111","111","-0.0153409210508988","-0.0996854139750671","3.41646941606252","4.8894203090667","0.941277607631442","-0.556000414205995"
"112","112","-1.56580657449387","-0.458697226030309","2.57075701742705","0.25017201632155","-9.77333749709368","-10.0444376298663"
"113","113","-1.17467805640029","-0.928122154311505","0.72489731753763","1.43909023533973","-11.5715882732656","-12.6029782915454"
"114","114","-1.96142869841803","-0.757173648242997","-0.746336724228803","0.725672011524593","-20.3405915315529","-18.324705615549"
"115","115","-0.995544833916831","-0.797244411887986","2.26606320251921","2.33003130839217","-9.48479624659293","-11.8091970207049"
"116","116","-1.64784357815116","-0.114346930389855","3.66287541968662","3.44876992701588","-10.1480980533435","-14.990580754767"
"117","117","-2.11319175837193","0.068029200848441","0.957512877262533","1.15868689858232","-21.2653010321275","-20.7894314681306"
"118","118","-0.522714421072479","-1.01066869919047","2.21410586344286","2.29078396590466","-2.97231918560575","-7.34392273239748"
"119","119","0.725867537590926","-0.365079026375909","5.49632014417089","1.8421749120517","5.77294780964057","5.59904843978471"
"120","120","-0.752891002850647","-0.267497022288623","2.614445423552","2.61279619015269","-13.5504332076078","-12.7979021082806"
"121","121","-2.26767873658291","-0.457015106531838","2.04360359693822","1.52812989435882","-21.5472915677798","-19.1470953408931"
"122","122","-0.862872956562921","-0.678268147172208","2.01587096786218","2.59238865580793","-8.80171989187462","-11.2745428208616"
"123","123","-1.69627941643825","0.112386481113361","2.26492508856214","2.26210361373632","-18.9728744232583","-17.7886962243709"
"124","124","0.225135957420453","-0.0254217215051162","6.75394202058969","4.61320679668728","0.026067552571242","-1.24434730819499"
"125","125","-2.30987014695804","-0.295797587236771","0.716793839015224","2.29155250321803","-17.5577437643906","-21.3669630560701"
"126","126","-0.639563582201945","-0.142725877621129","4.87923461555708","4.24928983371496","-2.76568166953038","-7.56212784099976"
"127","127","-1.60791537908581","-0.886727835554323","1.12556845701643","0.851792509530862","-10.3924572222312","-14.746229498302"
"128","128","-0.083672432005596","-0.480001103020828","4.48645304033357","3.30576058086735","-4.81199731912571","-2.60679297390031"
"129","129","-0.897591246206657","-0.316915492247516","5.66289538014358","4.0108673059707","-6.27826525897497","-8.99425268329734"
"130","130","-1.1634372544922","-0.654613585931188","1.03988340360159","1.60679781887748","-7.66899155504012","-11.9364761981862"
"131","131","0.244145618491057","0.0160861855747293","7.31027929950861","4.5030636446764","1.52030025255673","-2.46197139723068"
